Staten Island Rolling Sales. All Sales From 五月 2025 - 四月 2026,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 04/09/2026 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,12,,A5,4718 AMBOY ROAD,,10312,1,0,1,"1,746",910,2002,1,A5,"655,000",06/17/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5394,32,,A2,25 EDWIN STREET,,10312,1,0,1,"5,000","1,056",1955,1,A2,"1,100,000",10/17/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,4,,A1,26 EDWIN STREET,,10312,1,0,1,"7,654","2,277",1980,1,A1,0,07/17/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,1,,A1,34 EYLANDT ST,,10312,1,0,1,"9,968","3,516",1984,1,A1,0,10/17/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,6,,A1,24 EYLANDT STREET,,10312,1,0,1,"10,080","3,408",1984,1,A1,0,05/22/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,6,,A1,24 EYLANDT STREET,,10312,1,0,1,"10,080","3,408",1984,1,A1,"1,150,000",12/10/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,5,,A2,28 JANSEN STREET,,10312,1,0,1,"5,416","1,623",1980,1,A2,"1,150,000",10/01/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,5,,A1,110 NOEL STREET,,10312,1,0,1,"5,800","2,700",1998,1,A1,"1,417,000",04/29/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,35,,A5,103 ELMBANK STREET,,10312,1,0,1,"2,500","1,200",1999,1,A5,"635,000",04/28/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,37,,A5,111 ELMBANK STREET,,10312,1,0,1,"2,500","1,200",1999,1,A5,"838,888",02/09/2026
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,124,,A5,22 MAY PLACE,,10312,1,0,1,"2,475","2,495",1986,1,A5,"900,000",10/30/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,128,,A5,14 MAY PLACE,,10312,1,0,1,"2,400","2,495",1986,1,A5,0,09/22/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,1,,A5,39 EAGAN AVE,,10312,1,0,1,"2,600","1,825",1986,1,A5,"755,500",07/30/2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,20,,A5,9 EAGAN AVENUE,,10312,1,0,1,"1,508","1,521",1986,1,A5,"630,000",10/23/2025
